,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
0,5.0,-102505677.55242221,0.01834908127784729,0.2625618380956728
1,7.491039426523297,-102505677.82257807,0.19855304434895515,0.6904444249896267
2,9.982078853046595,-102505678.54162914,0.4775441773235798,1.527172541192217
3,12.473118279569892,-102505680.20174083,0.960768423974514,2.912118723817009
4,14.96415770609319,-102505683.32825318,1.6407180353999138,4.54622827691408
5,17.455197132616487,-102505688.37592746,2.47436298802495,6.267315719303467
6,19.946236559139784,-102505695.6557247,3.4295412078499794,8.03137813153402
7,22.43727598566308,-102505705.46217218,4.4804035276174545,9.685617724178938
8,24.92831541218638,-102505717.97744837,5.580181565135717,11.201881715491842
9,27.419354838709676,-102505733.26307675,6.719169247895479,12.66872178588947
10,29.910394265232974,-102505751.45287938,7.882080033421516,14.011072733767826
11,32.40143369175627,-102505772.532221,9.052948888391256,15.314493839689295
12,34.89247311827957,-102505796.55538459,10.236852869391441,16.642394788201422
13,37.38351254480287,-102505823.5330292,11.429212756454945,17.977619841614437
14,39.87455197132616,-102505853.49662378,12.63271975144744,19.281232488013348
15,42.36559139784946,-102505886.47023512,13.838283602148294,20.57830783612223
16,44.85663082437276,-102505922.44004387,15.052673041820526,21.961814983044345
17,47.34767025089606,-102505961.46383917,16.277510356158018,23.349048856002604
18,49.83870967741935,-102506003.53588401,17.509537380188704,24.82032443112664
19,52.329749103942646,-102506048.69773509,18.758650302886963,26.441420063162035
20,54.82078853046595,-102506096.99295898,20.026905454695225,27.952053068728297
21,57.31182795698925,-102506148.47335725,21.298915341496468,29.320158305866034
22,59.80286738351254,-102506203.10583471,22.57568719610572,30.912085065980012
23,62.293906810035836,-102506260.94721101,23.874150477349758,32.62966093903394
24,64.78494623655914,-102506322.04873492,25.18530910089612,34.35743218897538
25,67.27598566308244,-102506386.42240688,26.516298789530993,36.02185127525019
26,69.76702508960574,-102506454.15502639,27.852883595973253,37.53320410393394
27,72.25806451612902,-102506525.18766925,29.19655328243971,39.37417366350304
28,74.74910394265233,-102506599.61455707,30.56767037138343,41.12571387112184
29,77.24014336917563,-102506677.4782134,31.93761021271348,42.65937627527675
30,79.73118279569891,-102506758.73024954,33.319249629974365,44.428125252116516
31,82.22222222222221,-102506843.47734238,34.71374391019344,46.07510075176783
32,84.71326164874552,-102506931.67685898,36.11107134073973,47.71883746611763
33,87.20430107526882,-102507023.38554727,37.520140528678894,49.478958641533985
34,89.69534050179212,-102507118.60515767,38.93785936012864,50.98230884785646
35,92.1863799283154,-102507217.37703298,40.35192511603236,52.60852299437692
36,94.6774193548387,-102507319.64163047,41.78101048618555,54.45449958852887
37,97.168458781362,-102507425.53332178,43.217408910393715,55.79328260208957
38,99.65949820788529,-102507534.9541695,44.641676764935255,57.372605716568515
39,102.1505376344086,-102507647.94167554,46.08552334830165,59.16930059332862
40,104.6415770609319,-102507764.5558808,47.527477741241455,60.413444254748185
41,107.1326164874552,-102507884.72731733,48.961861334741116,61.6865859671944
42,109.6236559139785,-102508008.48773476,50.396141324192286,63.273903218010965
43,112.11469534050178,-102508135.80486731,51.837477665394545,65.06810602202715
44,114.60573476702508,-102508266.74613602,53.28759488463402,66.28095994348354
45,117.09677419354838,-102508401.28786692,54.71880790218711,67.30848456192899
46,119.58781362007167,-102508539.35955174,56.15134736523032,68.90069921128476
47,122.07885304659497,-102508681.03830719,57.58924014866352,70.33182530785842
48,124.56989247311827,-102508826.27368724,59.02161269634962,71.50679078745033
49,127.06093189964157,-102508975.08863567,60.4491002894938,72.62596456535
50,129.55197132616487,-102509127.43587148,61.86928803473711,73.83869379915599
51,132.04301075268816,-102509283.32630725,63.28865719586611,75.15512098768613
52,134.53405017921148,-102509442.74495213,64.70494542270899,76.3725998995944
53,137.02508960573476,-102509605.69144753,66.11689520999789,77.40810013532992
54,139.51612903225805,-102509772.1445376,67.5194172821939,78.50425114433055
55,142.00716845878136,-102509942.07850854,68.92025832086802,79.7451320590194
56,144.49820788530465,-102510115.51069912,70.3171389773488,80.76932176163709
57,146.98924731182794,-102510292.40403965,71.70506192371249,81.64143941741719
58,149.48028673835125,-102510472.7509718,73.08430797979236,82.85844323785464
59,151.97132616487454,-102510656.51582493,74.46667890250683,84.08291746386553
60,154.46236559139783,-102510843.74983802,75.84079984948039,84.68847205134769
61,156.95340501792114,-102511034.36067006,77.1982481367886,85.53389161897528
62,159.44444444444443,-102511228.35759756,78.55585144460201,86.71907410340518
63,161.93548387096774,-102511425.73211631,79.90791460871696,87.65279845641439
64,164.42652329749103,-102511626.46512914,81.25256215408444,88.52363455263443
65,166.91756272401432,-102511830.53878796,82.59015661478043,89.49649593955003
66,169.40860215053763,-102512037.93580188,83.92381251603365,90.26635737912773
67,171.89964157706092,-102512248.65383956,85.24476862698793,91.0059257130399
68,174.39068100358423,-102512462.631961,86.56139042973518,92.07776013796547
69,176.88172043010752,-102512679.90951231,87.87529142200947,92.93861488456587
70,179.3727598566308,-102512900.4335921,89.17911433428526,93.42067639249636
71,181.86379928315412,-102513124.20689198,90.47005094215274,94.06745609469468
72,184.3548387096774,-102513351.16251974,91.75605095177889,95.21906887868629
73,186.8458781362007,-102513581.34277306,93.04328912124038,96.15196678481958
74,189.336917562724,-102513814.71152288,94.3198574706912,96.87553800300746
75,191.8279569892473,-102514051.2517404,95.59240408241749,97.58581230215935
76,194.31899641577058,-102514290.96041778,96.85431709513068,97.95829979409396
77,196.8100358422939,-102514533.78758542,98.10392371192575,98.8821547567422
78,199.3010752688172,-102514779.72190149,99.35743483528495,99.80359490990347
79,201.7921146953405,-102515028.7941604,100.59878922626376,100.43666488055463
80,204.2831541218638,-102515280.91300194,101.8371322453022,101.24270119878564
81,206.77419354838707,-102515536.15478341,103.06790677458048,101.45662171570443
82,209.2652329749104,-102515794.4054407,104.28165823221207,102.28723036859667
83,211.75627240143368,-102516055.69422765,105.50310845673084,103.33379741173857
84,214.247311827957,-102516320.03024629,106.71283593028784,103.57939025876196
85,216.73835125448028,-102516587.3459909,107.9117299951613,104.54848007823024
86,219.22939068100357,-102516857.6549943,109.11605053767562,105.59307430305357
87,221.72043010752688,-102517130.97075881,110.31137641519308,105.6586378922134
88,224.21146953405017,-102517407.23496997,111.49021003767848,106.32876435372538
