,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
0,5.0,-102505677.55242221,-0.1904471144080162,0.5886124216020105
1,10.0,-102505678.53646694,0.5840650111436844,1.9208236590027812
2,15.0,-102505683.39307232,1.7303765445947648,4.365115644782781
3,20.0,-102505695.84023239,3.494142107665539,7.7970820546150215
4,25.0,-102505718.3344934,5.628917571902275,11.097289361059666
5,30.0,-102505752.1294081,7.933057852089405,14.000178377330306
6,35.0,-102505797.66507192,10.295643697679044,16.667576976865526
7,40.0,-102505855.08584508,12.695222702622413,19.33048627376556
8,45.0,-102505924.61729895,15.128265266120433,22.065232043713326
9,50.0,-102506006.36849774,17.598607601225375,24.955017566680908
10,55.0,-102506100.60337496,20.119268779456615,27.98460894152523
11,60.0,-102506207.56118554,22.686718317866326,31.14140119850635
12,65.0,-102506327.47055814,25.309502312541007,34.43132437318563
13,70.0,-102506460.65620866,27.98384514451027,37.77340481728317
14,75.0,-102506607.30900958,30.705703000724316,41.1721104718745
15,80.0,-102506767.71323867,33.473459874093535,44.57609349489209
16,85.0,-102506942.04360832,36.27771468758583,47.9284848116338
17,90.0,-102507130.49038555,39.11210514605045,51.214495790004776
18,95.0,-102507333.16465978,41.96821421980858,54.46530328765513
19,100.0,-102507550.17252775,44.845294965803625,57.634810358285904
20,105.0,-102507781.61760944,47.73169525563717,60.61768224835395
21,110.0,-102508027.4894803,50.618407560884954,63.519148477911926
22,115.0,-102508287.80168505,53.50616329908371,66.40372016429903
23,120.0,-102508562.5511133,56.392644096910956,69.11568952202794
24,125.0,-102508851.72812602,59.26580409258604,71.63511352613564
25,130.0,-102509155.20915422,62.12345317900181,74.13389926999811
26,135.0,-102509472.96265781,64.96841172873974,76.50637424290187
27,140.0,-102509804.8932715,67.79059201180935,78.75330736041073
28,145.0,-102510150.86857793,70.59364796876908,80.9573289394379
29,150.0,-102510510.8297512,73.37385607659817,82.98974025249485
30,155.0,-102510884.6071387,76.1262973189354,84.95907788276664
31,160.0,-102511272.09272438,78.85508690774441,86.88138909339887
32,165.0,-102511673.15800777,81.55638413727283,88.71552837118516
33,170.0,-102512087.65656576,84.23178559690714,90.52771057188511
34,175.0,-102512515.47586374,86.88154358267784,92.2066827416419
35,180.0,-102512956.47200158,89.50073889642954,93.74246566593652
36,185.0,-102513410.4832527,92.08945834189653,95.36791372224684
37,190.0,-102513877.366585,94.65576125979423,96.92694849222895
38,195.0,-102514357.0408653,97.19087668359279,98.39417631849656
39,200.0,-102514849.27535184,99.70161645561457,99.91630303859722
40,205.0,-102515354.05702986,102.18669183552265,101.30179626122117
41,210.0,-102515871.14227019,104.64316749274731,102.68258652091026
42,215.0,-102516400.48870479,107.07633881270885,104.07835986912244
43,220.0,-102516941.90565832,109.48402144014835,105.3200726836921
44,225.0,-102517495.32891919,111.86361484378577,106.49588400498033
45,230.0,-102518060.54180676,114.2171718403697,107.913475616276
46,235.0,-102518637.50063759,116.55550508797168,109.26745388954872
47,240.0,-102519226.09685764,118.86685072928667,110.57412854433073
48,245.0,-102519826.16914488,121.16276044398546,111.777949909866
49,250.0,-102520437.72446208,123.42921603173018,112.68573459237814
50,255.0,-102521060.4613052,125.67018982768059,114.05466052964309
51,260.0,-102521694.42636035,127.90194781720638,115.38080695867524
52,265.0,-102522339.48078337,130.10791317224502,116.61252727657602
53,270.0,-102522995.50549208,132.30242054462434,117.79068034887314
54,275.0,-102523662.50498882,134.47053096294403,118.59906380623563
55,280.0,-102524340.2108017,136.615113773942,119.8743242919445
56,285.0,-102525028.65612656,138.75175683051347,121.10437271744013
57,290.0,-102525727.72837001,140.86439000964165,122.06452488154173
58,295.0,-102526437.30002666,142.96087837815284,123.35249948054569
59,300.0,-102527157.33715379,145.04583066999913,124.60893018543771
60,305.0,-102527887.75833336,147.1145093843341,125.49683024585212
61,310.0,-102528628.48224764,149.16048084199429,126.36715119779075
62,315.0,-102529379.36314178,151.19086910039186,127.75992981567997
63,320.0,-102530140.39093864,153.21635162979365,129.133535861969
64,325.0,-102530911.52665807,155.2262920960784,129.76496915519255
65,330.0,-102531692.6538596,157.20911991149188,130.60788714587707
66,335.0,-102532483.61785719,159.18410685807467,132.0545454941688
67,340.0,-102533284.49492818,161.1510466426611,132.96590227782707
68,345.0,-102534095.12832361,163.09486868977547,133.87539004683455
69,350.0,-102534915.44361508,165.03149273097515,135.27683756500522
70,355.0,-102535745.44325092,166.95992119163276,135.9725844539706
71,360.0,-102536585.042827,168.86170637756587,136.50081455111422
72,365.0,-102537434.0603147,170.75161048471927,138.31751458868365
73,370.0,-102538292.55893184,172.65122732520103,139.58392062336227
74,375.0,-102539160.57258795,174.52414887994527,139.6985695883636
75,380.0,-102540037.80042064,176.37652251422406,141.28671205341794
76,385.0,-102540924.3378131,178.24222024977206,141.9923465222116
77,390.0,-102541820.22262314,180.06463541090488,143.00198172479912
78,395.0,-102542724.9841672,181.90893772989511,145.0620672985916
79,400.0,-102543639.31200044,183.73709281086923,144.45418685674667
80,405.0,-102544562.35509531,185.52029240131378,145.39724961966252
81,410.0,-102545494.51492445,187.32714835703374,146.71714600324654
82,415.0,-102546435.62657888,189.09875937700272,147.5231483846896
83,420.0,-102547385.50251822,190.88192301690577,149.08140841126442
84,425.0,-102548344.44580905,192.64831672012807,149.33662784844685
85,430.0,-102549311.98568542,194.39572602510452,150.2715042173855
86,435.0,-102550288.4030693,196.14300286471843,151.2097496688366
87,440.0,-102551273.41571407,197.87181222438812,152.44532753825263
88,445.0,-102552267.12119155,199.6076693996787,152.80408448129842
89,450.0,-102553269.49240807,201.30561187565326,153.7389007732267
90,455.0,-102554280.1773103,203.02408941686153,156.46864734664584
91,460.0,-102555299.73330224,204.7444832459092,155.52187803685717
92,465.0,-102556327.62214276,206.40499980896712,155.73248472735366
93,470.0,-102557363.78330033,208.09356893897058,158.43808972090483
94,475.0,-102558408.55783215,209.77602299451829,158.10152259096475
95,480.0,-102559461.54353027,211.42202204614878,158.80202822685214
96,485.0,-102560522.77805261,213.0843985825777,161.06106700599165
97,490.0,-102561592.3875161,214.74286878854036,160.34428234696333
98,495.0,-102562670.2067405,216.35673087537288,160.3690704569215
99,500.0,-102563755.95482485,217.9826479896903,162.93809451162815
100,505.0,-102564850.0332204,219.61549276560544,163.60206729769794
101,510.0,-102565952.1097525,221.2222928866744,163.53699867278453
102,515.0,-102567062.25614926,222.82210058271886,164.9073847278944
103,520.0,-102568180.33075833,224.42437802702187,166.94402947425783
