,T [K],G [J/mol],S [J/mol/K],Cp [J/mol/K]
0,5.0,-102505677.55242221,0.01657489687204361,0.516253300011158
1,6.0,-102505677.61175478,0.10209023952484131,0.4066801518201828
2,7.0,-102505677.75660269,0.1521349474787712,0.3703547716140747
3,8.0,-102505677.91602467,0.20790588855743408,0.6323447525501251
4,9.0,-102505678.17241447,0.3102211356163025,1.1308580450713634
5,10.0,-102505678.53646694,0.4592076763510704,1.613525152206421
6,11.0,-102505679.09082982,0.6329261660575867,2.0331682190299034
7,12.0,-102505679.80231927,0.8288746252655983,2.580508768558502
8,13.0,-102505680.74857907,1.063010960817337,3.206918004900217
9,14.0,-102505681.9283412,1.3222466260194778,3.809432774782181
10,15.0,-102505683.39307232,1.6072156429290771,4.467535391449928
