,T [K],G [J/mol]
0,5.0,-102505677.55242221
1,7.5,-102505677.81038672
2,10.0,-102505678.53646694
3,12.5,-102505680.23572998
4,15.0,-102505683.39307232
5,17.5,-102505688.45740046
6,20.0,-102505695.84023239
7,22.5,-102505705.766689
8,25.0,-102505718.3344934
9,27.5,-102505733.81570105
10,30.0,-102505752.1294081
11,32.5,-102505773.40726765
12,35.0,-102505797.66507192
13,37.5,-102505824.85108052
14,40.0,-102505855.08584508
15,42.5,-102505888.33832781
16,45.0,-102505924.61729895
17,47.5,-102505963.9506823
18,50.0,-102506006.36849774
19,52.5,-102506051.92115517
20,55.0,-102506100.60337496
21,57.5,-102506152.46713567
22,60.0,-102506207.56118554
23,62.5,-102506265.8830896
24,65.0,-102506327.47055814
25,67.5,-102506392.38185716
26,70.0,-102506460.65620866
27,72.5,-102506532.26784313
28,75.0,-102506607.30900958
29,77.5,-102506685.76496963
30,80.0,-102506767.71323867
31,82.5,-102506853.106416
32,85.0,-102506942.04360832
33,87.5,-102507034.50260714
34,90.0,-102507130.49038555
35,92.5,-102507230.05805394
36,95.0,-102507333.16465978
37,97.5,-102507439.87736778
38,100.0,-102507550.17252775
39,102.5,-102507664.08622657
40,105.0,-102507781.61760944
41,107.5,-102507902.74236926
42,110.0,-102508027.4894803
43,112.5,-102508155.83392477
44,115.0,-102508287.80168505
45,117.5,-102508423.3639267
46,120.0,-102508562.5511133
47,122.5,-102508705.34125528
48,125.0,-102508851.72812602
49,127.5,-102509001.66729234
50,130.0,-102509155.20915422
51,132.5,-102509312.31596714
52,135.0,-102509472.96265781
53,137.5,-102509637.14503561
54,140.0,-102509804.8932715
55,142.5,-102509976.11631706
56,145.0,-102510150.86857793
57,147.5,-102510329.11542816
58,150.0,-102510510.8297512
59,152.5,-102510695.97650288
60,155.0,-102510884.6071387
61,157.5,-102511076.64909425
62,160.0,-102511272.09272438
63,162.5,-102511470.93614092
64,165.0,-102511673.15800777
65,167.5,-102511878.75736393
66,170.0,-102512087.65656576
67,172.5,-102512299.94583805
68,175.0,-102512515.47586374
69,177.5,-102512734.32836036
70,180.0,-102512956.47200158
71,182.5,-102513181.85098219
72,185.0,-102513410.4832527
73,187.5,-102513642.34001908
74,190.0,-102513877.366585
75,192.5,-102514115.5958442
76,195.0,-102514357.0408653
77,197.5,-102514601.5825482
78,200.0,-102514849.27535184
79,202.5,-102515100.11358415
80,205.0,-102515354.05702986
81,207.5,-102515611.07410091
82,210.0,-102515871.14227019
83,212.5,-102516134.31546512
84,215.0,-102516400.48870479
85,217.5,-102516669.69387238
86,220.0,-102516941.90565832
87,222.5,-102517217.11370337
88,225.0,-102517495.32891919
89,227.5,-102517776.44914724
90,230.0,-102518060.54180676
91,232.5,-102518347.55023018
92,235.0,-102518637.50063759
93,237.5,-102518930.36878076
94,240.0,-102519226.09685764
95,242.5,-102519524.70604838
96,245.0,-102519826.16914488
97,247.5,-102520130.49865942
98,250.0,-102520437.72446208
99,252.5,-102520747.70179571
100,255.0,-102521060.4613052
101,257.5,-102521376.0585596
102,260.0,-102521694.42636035
103,262.5,-102522015.61028464
104,265.0,-102522339.48078337
105,267.5,-102522666.17146143
106,270.0,-102522995.50549208
107,272.5,-102523327.68477233
108,275.0,-102523662.50498882
109,277.5,-102523999.99251822
110,280.0,-102524340.2108017
111,282.5,-102524683.04250498
112,285.0,-102525028.65612656
113,287.5,-102525376.85112816
114,290.0,-102525727.72837001
115,292.5,-102526081.14573194
116,295.0,-102526437.30002666
117,297.5,-102526795.98796397
118,300.0,-102527157.33715379
119,302.5,-102527521.26181078
120,305.0,-102527887.75833336
121,307.5,-102528256.86515313
122,310.0,-102528628.48224764
123,312.5,-102529002.67155378
124,315.0,-102529379.36314178
125,317.5,-102529758.64582376
126,320.0,-102530140.39093864
127,322.5,-102530524.74615909
128,325.0,-102530911.52665807
129,327.5,-102531300.79730397
130,330.0,-102531692.6538596
131,332.5,-102532086.88985068
132,335.0,-102532483.61785719
133,337.5,-102532882.78670256
134,340.0,-102533284.49492818
135,342.5,-102533688.55627143
136,345.0,-102534095.12832361
137,347.5,-102534504.06172884
138,350.0,-102534915.44361508
139,352.5,-102535329.25993048
140,355.0,-102535745.44325092
141,357.5,-102536163.97913373
142,360.0,-102536585.042827
143,362.5,-102537008.36057857
144,365.0,-102537434.0603147
145,367.5,-102537862.1351757
146,370.0,-102538292.55893184
147,372.5,-102538725.37129389
148,375.0,-102539160.57258795
149,377.5,-102539597.98611261
150,380.0,-102540037.80042064
151,382.5,-102540479.99005964
152,385.0,-102540924.3378131
153,387.5,-102541371.05705972
154,390.0,-102541820.22262314
155,392.5,-102542271.55791742
156,395.0,-102542724.9841672
157,397.5,-102543181.09701195
158,400.0,-102543639.31200044
159,402.5,-102544099.65767172
160,405.0,-102544562.35509531
161,407.5,-102545027.34145749
162,410.0,-102545494.51492445
163,412.5,-102545963.8621324
